SNO	Region	Events_fired	Sessions	%_Events_Fired	% session_opened	Regionwise_exploration
1	MUMBAI	4892064	930457	13.13%	11.28%	5.26
2	NCR	4325447	790474	11.61%	9.59%	5.47
3	BANG	4026225	859191	10.80%	10.42%	4.69
4	HYD	3245858	727791	8.71%	8.83%	4.46
5	CHEN	2454747	527594	6.59%	6.40%	4.65
6	PUNE	2271749	422211	6.10%	5.12%	5.38
7	KOLK	1394694	303414	3.74%	3.68%	4.60
8	AHD	1058488	222817	2.84%	2.70%	4.75
9	COIM	702665	152349	1.89%	1.85%	4.61
10	KOCH	617724	130612	1.66%	1.58%	4.73
11	SURT	612078	110764	1.64%	1.34%	5.53
12	TRIV	584396	116747	1.57%	1.42%	5.01
13	CHD	511276	98906	1.37%	1.20%	5.17
14	LUCK	469271	89673	1.26%	1.09%	5.23
15	VAD	438934	94486	1.18%	1.15%	4.65
16	JAIP	408508	73672	1.10%	0.89%	5.54
17	VIZA	362948	107163	0.97%	1.30%	3.39
18	LUDH	348776	75242	0.94%	0.91%	4.64
19	VIJA	324103	78532	0.87%	0.95%	4.13
20	IND	258790	54963	0.69%	0.67%	4.71
21	NAGP	227107	70312	0.61%	0.85%	3.23
22	TIRP	205170	51304	0.55%	0.62%	4.00
23	MYS	191881	56677	0.51%	0.69%	3.39
24	MLR	166497	38738	0.45%	0.47%	4.30
25	SCBD	163341	27069	0.44%	0.33%	6.03
26	MADU	161827	42674	0.43%	0.52%	3.79
27	BHUB	161122	45539	0.43%	0.55%	3.54
28	TRIC	157199	37437	0.42%	0.45%	4.20
29	RAJK	141658	33264	0.38%	0.40%	4.26
30	PATN	129224	32155	0.35%	0.39%	4.02
31	AMRI	128462	24487	0.34%	0.30%	5.25
32	NASK	127706	35994	0.34%	0.44%	3.55
33	RAIPUR	114277	39260	0.31%	0.48%	2.91
34	KANP	114108	27072	0.31%	0.33%	4.21
35	GUW	114074	29197	0.31%	0.35%	3.91
36	TIRU	113968	38934	0.31%	0.47%	2.93
37	AURA	110444	31069	0.30%	0.38%	3.55
38	THSR	105247	22100	0.28%	0.27%	4.76
39	SALM	103989	23463	0.28%	0.28%	4.43
40	WAR	101381	32043	0.27%	0.39%	3.16
41	POND	96093	22282	0.26%	0.27%	4.31
42	BHOP	93274	29384	0.25%	0.36%	3.17
43	DEH	91714	20537	0.25%	0.25%	4.47
44	MOHL	87600	19097	0.24%	0.23%	4.59
45	GUNT	75343	23621	0.20%	0.29%	3.19
46	GOA	70307	16562	0.19%	0.20%	4.25
47	RANC	64296	25886	0.17%	0.31%	2.48
48	JALA	61188	15895	0.16%	0.19%	3.85
49	JMDP	58136	16040	0.16%	0.19%	3.62
50	VELL	57895	14767	0.16%	0.18%	3.92
51	HUBL	56029	15615	0.15%	0.19%	3.59
52	KOLM	54929	13704	0.15%	0.17%	4.01
53	VAR	53488	16208	0.14%	0.20%	3.30
54	GNAGAR	52212	12663	0.14%	0.15%	4.12
55	PATI	51862	10815	0.14%	0.13%	4.80
56	KOZH	47811	7741	0.13%	0.09%	6.18
57	KOLH	40229	13039	0.11%	0.16%	3.09
58	JODH	37873	10583	0.10%	0.13%	3.58
59	NAGE	36572	7361	0.10%	0.09%	4.97
60	VILL	36005	9150	0.10%	0.11%	3.93
61	GRKP	35530	15878	0.10%	0.19%	2.24
62	KTYM	35168	8521	0.09%	0.10%	4.13
63	AGRA	34415	14509	0.09%	0.18%	2.37
64	VIZI	34384	12907	0.09%	0.16%	2.66
65	HWRH	32828	12872	0.09%	0.16%	2.55
66	KARIM	32296	12668	0.09%	0.15%	2.55
67	JAMM	30468	12227	0.08%	0.15%	2.49
68	ZIRK	30131	5397	0.08%	0.07%	5.58
69	KARA	30019	6413	0.08%	0.08%	4.68
70	SHIA	29402	8374	0.08%	0.10%	3.51
71	RJMU	29345	8696	0.08%	0.11%	3.37
72	SILI	29198	8120	0.08%	0.10%	3.60
73	MERT	29171	8437	0.08%	0.10%	3.46
74	AND	29108	7493	0.08%	0.09%	3.88
75	PNCH	28450	4703	0.08%	0.06%	6.05
76	KAKI	28416	9859	0.08%	0.12%	2.88
77	EROD	28192	6644	0.08%	0.08%	4.24
78	BELG	28002	7473	0.08%	0.09%	3.75
79	JAM	27913	7620	0.07%	0.09%	3.66
80	SING	27407	5963	0.07%	0.07%	4.60
81	ALLH	27023	10003	0.07%	0.12%	2.70
82	MOBI	26679	5220	0.07%	0.06%	5.11
83	NIZA	26590	9532	0.07%	0.12%	2.79
84	BAHD	25803	4513	0.07%	0.05%	5.72
85	KHAM	25787	9035	0.07%	0.11%	2.85
86	PLKK	24941	6046	0.07%	0.07%	4.13
87	KOTA	24914	8246	0.07%	0.10%	3.02
88	BHNG	24724	6566	0.07%	0.08%	3.77
89	DIND	24166	6009	0.06%	0.07%	4.02
90	BILA	23906	10351	0.06%	0.13%	2.31
91	BHILAI	23840	10671	0.06%	0.13%	2.23
92	UDAI	23795	7347	0.06%	0.09%	3.24
93	TIRV	23698	4551	0.06%	0.06%	5.21
94	BHAT	23322	9303	0.06%	0.11%	2.51
95	BARE	22806	7239	0.06%	0.09%	3.15
96	ANGA	22464	5843	0.06%	0.07%	3.84
97	GULB	22230	7044	0.06%	0.09%	3.16
98	PAN	22184	5671	0.06%	0.07%	3.91
99	ALPZ	21923	5600	0.06%	0.07%	3.91
100	JABL	21903	9419	0.06%	0.11%	2.33
101	TVNM	21258	4756	0.06%	0.06%	4.47
102	ASANSOL	21049	5819	0.06%	0.07%	3.62
103	ROH	20937	5944	0.06%	0.07%	3.52
104	DAVA	20363	5503	0.05%	0.07%	3.70
105	VAPI	19908	4315	0.05%	0.05%	4.61
106	GDHAM	19225	4727	0.05%	0.06%	4.07
107	AJMER	19155	5931	0.05%	0.07%	3.23
108	TUMK	18772	3809	0.05%	0.05%	4.93
109	BHAR	18671	4787	0.05%	0.06%	3.90
110	ANAN	18466	6484	0.05%	0.08%	2.85
111	THOD	18424	5162	0.05%	0.06%	3.57
112	MTPM	18121	3765	0.05%	0.05%	4.81
113	MANI	18021	5577	0.05%	0.07%	3.23
114	KNPM	17850	4325	0.05%	0.05%	4.13
115	NAND	17569	7478	0.05%	0.09%	2.35
116	NVSR	17499	3991	0.05%	0.05%	4.38
117	SRDN	17444	3947	0.05%	0.05%	4.42
118	VDKR	17414	2932	0.05%	0.04%	5.94
119	VLSD	17319	4628	0.05%	0.06%	3.74
120	GWAL	17253	5169	0.05%	0.06%	3.34
121	SOLA	17078	6880	0.05%	0.08%	2.48
122	AMB	16490	4179	0.04%	0.05%	3.95
123	MUVA	16452	4115	0.04%	0.05%	4.00
124	CNSY	15847	4171	0.04%	0.05%	3.80
125	ELRU	15839	5573	0.04%	0.07%	2.84
126	KARN	15660	3557	0.04%	0.04%	4.40
127	KUMB	15635	3296	0.04%	0.04%	4.74
128	SANG	15516	6515	0.04%	0.08%	2.38
129	RKOR	15496	6737	0.04%	0.08%	2.30
130	RAIH	15108	3376	0.04%	0.04%	4.48
131	HIRA	15066	14189	0.04%	0.17%	1.06
132	CUTT	14888	6045	0.04%	0.07%	2.46
133	THAL	14780	3910	0.04%	0.05%	3.78
134	LAT	14660	5790	0.04%	0.07%	2.53
135	HRDR	14613	3993	0.04%	0.05%	3.66
136	ERNK	14462	2248	0.04%	0.03%	6.43
137	MORA	14163	5900	0.04%	0.07%	2.40
138	GOBI	14100	2864	0.04%	0.03%	4.92
139	DURGA	14093	6365	0.04%	0.08%	2.21
140	KODU	13761	3155	0.04%	0.04%	4.36
141	ONGL	13692	4777	0.04%	0.06%	2.87
142	AMRA	13521	5742	0.04%	0.07%	2.35
143	KDPA	13496	4848	0.04%	0.06%	2.78
144	PTNM	13184	3223	0.04%	0.04%	4.09
145	MANC	13110	4518	0.04%	0.05%	2.90
146	IRNK	13075	2830	0.04%	0.03%	4.62
147	PERA	12981	3042	0.03%	0.04%	4.27
148	PALG	12911	4383	0.03%	0.05%	2.95
149	THAY	12162	2593	0.03%	0.03%	4.69
